scheme,quarter_year,event_time,group,treat_group,injury_count,n_road_links,n_oas,baseline_2019_mean,index_2019,quarter_date,calendar_year,calendar_quarter
Bath,2015 Q1,-25,Control,0,13.05461,1253,45,10.31461,126.5642617607452,2015-01-01,2015,Q1
Bath,2015 Q2,-24,Control,0,8.49651,1253,45,10.31461,82.37354587328072,2015-04-01,2015,Q2
Bath,2015 Q3,-23,Control,0,10.41717,1253,45,10.31461,100.99431776867958,2015-07-01,2015,Q3
Bath,2015 Q4,-22,Control,0,5.60486,1253,45,10.31461,54.33903947895267,2015-10-01,2015,Q4
Bath,2016 Q1,-21,Control,0,9.5433,1253,45,10.31461,92.52216031435023,2016-01-01,2016,Q1
Bath,2016 Q2,-20,Control,0,5.95411,1253,45,10.31461,57.725013354843284,2016-04-01,2016,Q2
Bath,2016 Q3,-19,Control,0,10.49827,1253,45,10.31461,101.78058113685346,2016-07-01,2016,Q3
Bath,2016 Q4,-18,Control,0,8.87182,1253,45,10.31461,86.01217108547972,2016-10-01,2016,Q4
Bath,2017 Q1,-17,Control,0,9.57675,1253,45,10.31461,92.84645759752429,2017-01-01,2017,Q1
Bath,2017 Q2,-16,Control,0,6.7835,1253,45,10.31461,65.7659378299325,2017-04-01,2017,Q2
Bath,2017 Q3,-15,Control,0,5,1253,45,10.31461,48.474930220337946,2017-07-01,2017,Q3
Bath,2017 Q4,-14,Control,0,21.47639,1253,45,10.31461,208.21330132695272,2017-10-01,2017,Q4
Bath,2018 Q1,-13,Control,0,7.6757,1253,45,10.31461,74.41580437844961,2018-01-01,2018,Q1
Bath,2018 Q2,-12,Control,0,12.70334,1253,45,10.31461,123.15870401304558,2018-04-01,2018,Q2
Bath,2018 Q3,-11,Control,0,11.785730000000001,1253,45,10.31461,114.26248786914871,2018-07-01,2018,Q3
Bath,2018 Q4,-10,Control,0,15.66384,1253,45,10.31461,151.86071019650768,2018-10-01,2018,Q4
Bath,2019 Q1,-9,Control,0,13.3736,1253,45,10.31461,129.6568653589423,2019-01-01,2019,Q1
Bath,2019 Q2,-8,Control,0,7.6431,1253,45,10.31461,74.09974783341299,2019-04-01,2019,Q2
Bath,2019 Q3,-7,Control,0,12.52232,1253,45,10.31461,121.40371763934846,2019-07-01,2019,Q3
Bath,2019 Q4,-6,Control,0,7.71942,1253,45,10.31461,74.83966916829623,2019-10-01,2019,Q4
Bath,2020 Q1,-5,Control,0,6.65635,1253,45,10.31461,64.5332203544293,2020-01-01,2020,Q1
Bath,2020 Q2,-4,Control,0,1.81669,1253,45,10.31461,17.612784196397147,2020-04-01,2020,Q2
Bath,2020 Q3,-3,Control,0,6,1253,45,10.31461,58.169916264405536,2020-07-01,2020,Q3
Bath,2020 Q4,-2,Control,0,4,1253,45,10.31461,38.779944176270355,2020-10-01,2020,Q4
Bath,2021 Q1,-1,Control,0,2,1253,45,10.31461,19.389972088135178,2021-01-01,2021,Q1
Bath,2021 Q2,0,Control,0,6.97172,1253,45,10.31461,67.5907281031469,2021-04-01,2021,Q2
Bath,2021 Q3,1,Control,0,5,1253,45,10.31461,48.474930220337946,2021-07-01,2021,Q3
Bath,2021 Q4,2,Control,0,9.85839,1253,45,10.31461,95.57695346697548,2021-10-01,2021,Q4
Bath,2022 Q1,3,Control,0,8.8774,1253,45,10.31461,86.06626910760562,2022-01-01,2022,Q1
Bath,2022 Q2,4,Control,0,4.9607,1253,45,10.31461,48.09391726880609,2022-04-01,2022,Q2
Bath,2022 Q3,5,Control,0,15,1253,45,10.31461,145.42479066101384,2022-07-01,2022,Q3
Bath,2022 Q4,6,Control,0,9.73769,1253,45,10.31461,94.40676865145653,2022-10-01,2022,Q4
Bath,2023 Q1,7,Control,0,2,1253,45,10.31461,19.389972088135178,2023-01-01,2023,Q1
Bath,2023 Q2,8,Control,0,6,1253,45,10.31461,58.169916264405536,2023-04-01,2023,Q2
Bath,2023 Q3,9,Control,0,7.93414,1253,45,10.31461,76.92137657167842,2023-07-01,2023,Q3
Bath,2023 Q4,10,Control,0,1.95647,1253,45,10.31461,18.967949345636917,2023-10-01,2023,Q4
Bath,2024 Q1,11,Control,0,7,1253,45,10.31461,67.86490230847312,2024-01-01,2024,Q1
Bath,2024 Q2,12,Control,0,10.9367,1253,45,10.31461,106.03115386815401,2024-04-01,2024,Q2
Bath,2024 Q3,13,Control,0,8.83693,1253,45,10.31461,85.67391302240222,2024-07-01,2024,Q3
Bath,2024 Q4,14,Control,0,17,1253,45,10.31461,164.81476274914903,2024-10-01,2024,Q4
Bath,2015 Q1,-25,Treated,1,10.47109,1241,45,11.647905,89.89676684347957,2015-01-01,2015,Q1
Bath,2015 Q2,-24,Treated,1,9.3753,1241,45,11.647905,80.48915234112916,2015-04-01,2015,Q2
Bath,2015 Q3,-23,Treated,1,4.84171,1241,45,11.647905,41.567217452408826,2015-07-01,2015,Q3
Bath,2015 Q4,-22,Treated,1,15.18151,1241,45,11.647905,130.33682881170475,2015-10-01,2015,Q4
Bath,2016 Q1,-21,Treated,1,5.70206,1241,45,11.647905,48.95352426037129,2016-01-01,2016,Q1
Bath,2016 Q2,-20,Treated,1,4.83274,1241,45,11.647905,41.490207895754644,2016-04-01,2016,Q2
Bath,2016 Q3,-19,Treated,1,10.45566,1241,45,11.647905,89.76429666965862,2016-07-01,2016,Q3
Bath,2016 Q4,-18,Treated,1,11.49891,1241,45,11.647905,98.72084293269907,2016-10-01,2016,Q4
Bath,2017 Q1,-17,Treated,1,5.64319,1241,45,11.647905,48.44811148442574,2017-01-01,2017,Q1
Bath,2017 Q2,-16,Treated,1,3.7164200000000003,1241,45,11.647905,31.906338521820025,2017-04-01,2017,Q2
Bath,2017 Q3,-15,Treated,1,8.46842,1241,45,11.647905,72.7033745553385,2017-07-01,2017,Q3
Bath,2017 Q4,-14,Treated,1,8.52327,1241,45,11.647905,73.17427468716477,2017-10-01,2017,Q4
Bath,2018 Q1,-13,Treated,1,13.12377,1241,45,11.647905,112.67064764006918,2018-01-01,2018,Q1
Bath,2018 Q2,-12,Treated,1,9.46927,1241,45,11.647905,81.2959068605041,2018-04-01,2018,Q2
Bath,2018 Q3,-11,Treated,1,7.61093,1241,45,11.647905,65.34162151906287,2018-07-01,2018,Q3
Bath,2018 Q4,-10,Treated,1,9.51764,1241,45,11.647905,81.71117467046649,2018-10-01,2018,Q4
Bath,2019 Q1,-9,Treated,1,4.69853,1241,45,11.647905,40.337983525792836,2019-01-01,2019,Q1
Bath,2019 Q2,-8,Treated,1,11.3965,1241,45,11.647905,97.84162903114336,2019-04-01,2019,Q2
Bath,2019 Q3,-7,Treated,1,12.1287,1241,45,11.647905,104.1277379923686,2019-07-01,2019,Q3
Bath,2019 Q4,-6,Treated,1,18.36789,1241,45,11.647905,157.6926494506952,2019-10-01,2019,Q4
Bath,2020 Q1,-5,Treated,1,6.59839,1241,45,11.647905,56.64872781843602,2020-01-01,2020,Q1
Bath,2020 Q2,-4,Treated,1,3.83857,1241,45,11.647905,32.95502495942403,2020-04-01,2020,Q2
Bath,2020 Q3,-3,Treated,1,6.583550000000001,1241,45,11.647905,56.52132293317983,2020-07-01,2020,Q3
Bath,2020 Q4,-2,Treated,1,3.78134,1241,45,11.647905,32.46369196864158,2020-10-01,2020,Q4
Bath,2021 Q1,-1,Treated,1,1,1241,45,11.647905,8.585234855538399,2021-01-01,2021,Q1
Bath,2021 Q2,0,Treated,1,0.93442,1241,45,11.647905,8.022215153712192,2021-04-01,2021,Q2
Bath,2021 Q3,1,Treated,1,12.06837,1241,45,11.647905,103.60979077353396,2021-07-01,2021,Q3
Bath,2021 Q4,2,Treated,1,7.58805,1241,45,11.647905,65.14519134556815,2021-10-01,2021,Q4
Bath,2022 Q1,3,Treated,1,11.26096,1241,45,11.647905,96.6779862988237,2022-01-01,2022,Q1
Bath,2022 Q2,4,Treated,1,3.72332,1241,45,11.647905,31.965576642323235,2022-04-01,2022,Q2
Bath,2022 Q3,5,Treated,1,4.69507,1241,45,11.647905,40.30827861319268,2022-07-01,2022,Q3
Bath,2022 Q4,6,Treated,1,2.91826,1241,45,11.647905,25.053947469523493,2022-10-01,2022,Q4
Bath,2023 Q1,7,Treated,1,1.82458,1241,45,11.647905,15.664447812718253,2023-01-01,2023,Q1
Bath,2023 Q2,8,Treated,1,0,1241,45,11.647905,0,2023-04-01,2023,Q2
Bath,2023 Q3,9,Treated,1,5.51159,1241,45,11.647905,47.31829457743689,2023-07-01,2023,Q3
Bath,2023 Q4,10,Treated,1,1.85298,1241,45,11.647905,15.908268482615544,2023-10-01,2023,Q4
Bath,2024 Q1,11,Treated,1,2.9663500000000003,1241,45,11.647905,25.466811413726337,2024-01-01,2024,Q1
Bath,2024 Q2,12,Treated,1,5.6118,1241,45,11.647905,48.17862096231039,2024-04-01,2024,Q2
Bath,2024 Q3,13,Treated,1,12.32989,1241,45,11.647905,105.85500139295436,2024-07-01,2024,Q3
Bath,2024 Q4,14,Treated,1,1.85381,1241,45,11.647905,15.91539422754564,2024-10-01,2024,Q4
Birmingham,2015 Q1,-26,Control,0,113.20378,6411,225,137.5496975,82.30027550587668,2015-01-01,2015,Q1
Birmingham,2015 Q2,-25,Control,0,99.48254,6411,225,137.5496975,72.32479737005602,2015-04-01,2015,Q2
Birmingham,2015 Q3,-24,Control,0,155.68096,6411,225,137.5496975,113.18160841466045,2015-07-01,2015,Q3
Birmingham,2015 Q4,-23,Control,0,180.27625,6411,225,137.5496975,131.06262919989337,2015-10-01,2015,Q4
Birmingham,2016 Q1,-22,Control,0,130.04444,6411,225,137.5496975,94.54360304936331,2016-01-01,2016,Q1
Birmingham,2016 Q2,-21,Control,0,118.37573,6411,225,137.5496975,86.06033466558515,2016-04-01,2016,Q2
Birmingham,2016 Q3,-20,Control,0,135.85686,6411,225,137.5496975,98.76929027779215,2016-07-01,2016,Q3
Birmingham,2016 Q4,-19,Control,0,142.22268,6411,225,137.5496975,103.39730481777322,2016-10-01,2016,Q4
Birmingham,2017 Q1,-18,Control,0,161.91955,6411,225,137.5496975,117.71712547750239,2017-01-01,2017,Q1
Birmingham,2017 Q2,-17,Control,0,130.5849,6411,225,137.5496975,94.93652285204044,2017-04-01,2017,Q2
Birmingham,2017 Q3,-16,Control,0,165.61236,6411,225,137.5496975,120.40183512580971,2017-07-01,2017,Q3
Birmingham,2017 Q4,-15,Control,0,147.44041000000001,6411,225,137.5496975,107.19064649342468,2017-10-01,2017,Q4
Birmingham,2018 Q1,-14,Control,0,133.21963,6411,225,137.5496975,96.85199780246698,2018-01-01,2018,Q1
Birmingham,2018 Q2,-13,Control,0,128.90059,6411,225,137.5496975,93.71201270726166,2018-04-01,2018,Q2
Birmingham,2018 Q3,-12,Control,0,163.58436,6411,225,137.5496975,118.92745892807216,2018-07-01,2018,Q3
Birmingham,2018 Q4,-11,Control,0,127.39541,6411,225,137.5496975,92.6177318565168,2018-10-01,2018,Q4
Birmingham,2019 Q1,-10,Control,0,119.4395,6411,225,137.5496975,86.83370605013506,2019-01-01,2019,Q1
Birmingham,2019 Q2,-9,Control,0,137.99006,6411,225,137.5496975,100.32014792326241,2019-04-01,2019,Q2
Birmingham,2019 Q3,-8,Control,0,120.61229,6411,225,137.5496975,87.68633606046279,2019-07-01,2019,Q3
Birmingham,2019 Q4,-7,Control,0,172.15694,6411,225,137.5496975,125.15980996613968,2019-10-01,2019,Q4
Birmingham,2020 Q1,-6,Control,0,81.12959000000001,6411,225,137.5496975,58.98201993501294,2020-01-01,2020,Q1
Birmingham,2020 Q2,-5,Control,0,67.46213,6411,225,137.5496975,49.045640394810754,2020-04-01,2020,Q2
Birmingham,2020 Q3,-4,Control,0,93.06426,6411,225,137.5496975,67.65864388760288,2020-07-01,2020,Q3
Birmingham,2020 Q4,-3,Control,0,78.3891,6411,225,137.5496975,56.989656411276364,2020-10-01,2020,Q4
Birmingham,2021 Q1,-2,Control,0,53.60864,6411,225,137.5496975,38.97401519185457,2021-01-01,2021,Q1
Birmingham,2021 Q2,-1,Control,0,80.52244,6411,225,137.5496975,58.54061583814097,2021-04-01,2021,Q2
Birmingham,2021 Q3,0,Control,0,96.34662,6411,225,137.5496975,70.0449522980594,2021-07-01,2021,Q3
Birmingham,2021 Q4,1,Control,0,102.86027,6411,225,137.5496975,74.780440720344,2021-10-01,2021,Q4
Birmingham,2022 Q1,2,Control,0,80.37527,6411,225,137.5496975,58.433621782410675,2022-01-01,2022,Q1
Birmingham,2022 Q2,3,Control,0,90.09376,6411,225,137.5496975,65.49906080309627,2022-04-01,2022,Q2
Birmingham,2022 Q3,4,Control,0,79.97354,6411,225,137.5496975,58.14156007140619,2022-07-01,2022,Q3
Birmingham,2022 Q4,5,Control,0,103.32615,6411,225,137.5496975,75.11914012024636,2022-10-01,2022,Q4
Birmingham,2023 Q1,6,Control,0,111.62281,6411,225,137.5496975,81.15089457030612,2023-01-01,2023,Q1
Birmingham,2023 Q2,7,Control,0,108.24821,6411,225,137.5496975,78.69752676119117,2023-04-01,2023,Q2
Birmingham,2023 Q3,8,Control,0,106.23099,6411,225,137.5496975,77.23098773081634,2023-07-01,2023,Q3
Birmingham,2023 Q4,9,Control,0,112.20516,6411,225,137.5496975,81.57426882018407,2023-10-01,2023,Q4
Birmingham,2024 Q1,10,Control,0,79.87667,6411,225,137.5496975,58.07113461663556,2024-01-01,2024,Q1
Birmingham,2024 Q2,11,Control,0,85.87996,6411,225,137.5496975,62.43558623602207,2024-04-01,2024,Q2
Birmingham,2024 Q3,12,Control,0,63.91043,6411,225,137.5496975,46.463519121879564,2024-07-01,2024,Q3
Birmingham,2024 Q4,13,Control,0,85.39445,6411,225,137.5496975,62.082615630615976,2024-10-01,2024,Q4
Birmingham,2015 Q1,-26,Treated,1,121.52452,4009,120,104.5,116.29140669856459,2015-01-01,2015,Q1
Birmingham,2015 Q2,-25,Treated,1,94.63749,4009,120,104.5,90.5621913875598,2015-04-01,2015,Q2
Birmingham,2015 Q3,-24,Treated,1,118.51071,4009,120,104.5,113.40737799043062,2015-07-01,2015,Q3
Birmingham,2015 Q4,-23,Treated,1,102.88625,4009,120,104.5,98.45574162679426,2015-10-01,2015,Q4
Birmingham,2016 Q1,-22,Treated,1,113,4009,120,104.5,108.13397129186603,2016-01-01,2016,Q1
Birmingham,2016 Q2,-21,Treated,1,101,4009,120,104.5,96.65071770334929,2016-04-01,2016,Q2
Birmingham,2016 Q3,-20,Treated,1,109,4009,120,104.5,104.30622009569377,2016-07-01,2016,Q3
Birmingham,2016 Q4,-19,Treated,1,105,4009,120,104.5,100.47846889952153,2016-10-01,2016,Q4
Birmingham,2017 Q1,-18,Treated,1,79,4009,120,104.5,75.59808612440192,2017-01-01,2017,Q1
Birmingham,2017 Q2,-17,Treated,1,122,4009,120,104.5,116.7464114832536,2017-04-01,2017,Q2
Birmingham,2017 Q3,-16,Treated,1,90,4009,120,104.5,86.1244019138756,2017-07-01,2017,Q3
Birmingham,2017 Q4,-15,Treated,1,121,4009,120,104.5,115.78947368421052,2017-10-01,2017,Q4
Birmingham,2018 Q1,-14,Treated,1,106,4009,120,104.5,101.43540669856459,2018-01-01,2018,Q1
Birmingham,2018 Q2,-13,Treated,1,95,4009,120,104.5,90.9090909090909,2018-04-01,2018,Q2
Birmingham,2018 Q3,-12,Treated,1,99,4009,120,104.5,94.73684210526316,2018-07-01,2018,Q3
Birmingham,2018 Q4,-11,Treated,1,137,4009,120,104.5,131.10047846889952,2018-10-01,2018,Q4
Birmingham,2019 Q1,-10,Treated,1,116,4009,120,104.5,111.00478468899522,2019-01-01,2019,Q1
Birmingham,2019 Q2,-9,Treated,1,101,4009,120,104.5,96.65071770334929,2019-04-01,2019,Q2
Birmingham,2019 Q3,-8,Treated,1,90,4009,120,104.5,86.1244019138756,2019-07-01,2019,Q3
Birmingham,2019 Q4,-7,Treated,1,111,4009,120,104.5,106.22009569377991,2019-10-01,2019,Q4
Birmingham,2020 Q1,-6,Treated,1,87,4009,120,104.5,83.2535885167464,2020-01-01,2020,Q1
